"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062";"Locus.Identifier";"Annotation"
"245087_at";187;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6475;"0.0333";"0.0014";"AT2G39830";"zinc ion binding"
"245088_at";188;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5464;"0.0111";"0,0003";"AT2G39850";"subtilase"
"245090_at";190;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6512;"0.0339";"0.0014";"AT2G40900";"nodulin MtN21 family protein"
"245093_at";193;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4288;"0.0489";"0.0012";"AT2G40820";"3'-5'-exoribonuclease/ RNA binding"
"245097_at";197;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3551;"0.0854";"0.003";"AT2G40935";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G18470.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN70759.1); contains InterPro domain Protein of unknown function Cys-rich (InterPro:IPR006461)"
"245108_at";208;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2669;"0,0002";"0";"AT2G41510";"ATCKX1/CKX1 (CYTOKININ OXIDASE/DEHYDROGENASE 1); cytokinin dehydrogenase"
"245113_at";213;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1904;"0";"0";"AT2G41660";"MIZ1 (MIZU-KUSSEI 1)"
"245130_at";230;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.344;"0,0005";"0";"AT2G45340";"leucine-rich repeat transmembrane protein kinase, putative"
"245132_at";232;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4291;"0.0501";"0.0012";"AT2G45320";"binding / catalytic"
"245143_at";243;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.566;"0.0131";"0,0004";"AT2G45450";"ZPR1 (LITTLE ZIPPER 1); protein binding"
"245152_at";252;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3351;"0.0975";"0.0037";"AT2G47490";"mitochondrial substrate carrier family protein"
"245158_at";258;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4438;"0.0036";"0,0001";"AT2G33130";"RALFL18 (RALF-LIKE 18)"
"245165_at";265;0.1476;"0.0014";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT2G33180";"similar to unnamed protein product [Vitis vinifera] (GB:CAO41107.1)"
"245171_at";271;NA;NA;NA;4.7322;0.0176;"0";NA;NA;NA;5.8302;"0";"0";"AT2G47560";"zinc finger (C3HC4-type RING finger) family protein"
"245186_at";286;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4648;"0.0044";"0,0001";"AT1G67710";"ARR11 (RESPONSE REGULATOR 11); transcription factor/ two-component response regulator"
"245191_at";291;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3443;"0.0802";"0.0027";"AT1G67770";"TEL2 (TERMINAL EAR1-LIKE 2); RNA binding"
"245193_at";293;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2603;"0,0001";"0";"AT1G67810";"Fe-S metabolism associated domain-containing protein"
"245196_at";296;2.5947;"0.0434";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT1G67750";"pectate lyase family protein"
"245208_at";308;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4868;"0.0057";"0,0001";"AT5G12330";"LRP1 (LATERAL ROOT PRIMORDIUM 1)"
"245209_at";309;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3755;"0.0642";"0.0018";"AT5G12340";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G28190.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO16848.1)"
"245215_at";315;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7201;"0.0707";"0.0036";"AT1G67830";"ATFXG1 (ALPHA-FUCOSIDASE 1); alpha-L-fucosidase/ carboxylesterase"
"245229_at";329;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7288;"0.0774";"0.004";"AT4G25620";"hydroxyproline-rich glycoprotein family protein"
"245236_at";336;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5303;"0.0351";"0,0007";"AT4G25540";"MSH3 (ARABIDOPSIS HOMOLOG OF DNA MISMATCH REPAIR PROTEIN MSH3)"
"245244_at";344;2.1141;"0.076";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT1G44350";"ILL6 (IAA-leucine resistant (ILR)-like gene 6); metallopeptidase"
"245251_at";351;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5969;"0.0185";"0,0006";"AT4G17615";"CBL1 (CALCINEURIN B-LIKE PROTEIN 1); calcium ion binding"
"245253_at";353;3.4646;"0.0258";"0,0001";NA;NA;NA;NA;NA;NA;0.6108;"0.026";"0.001";"AT4G15440";"HPL1 (HYDROPEROXIDE LYASE 1); heme binding / iron ion binding / monooxygenase"
"245254_at";354;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4387;"0.0391";"0,0008";"AT4G14680";"APS3 (ATP sulfurylase 2); sulfate adenylyltransferase (ATP)"
"245276_at";376;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4511;"0.0042";"0,0001";"AT4G16780";"ATHB-2 (ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 2); DNA binding / transcription factor"
"245277_at";377;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5829;"0.0196";"0,0007";"AT4G15550";"IAGLU (INDOLE-3-ACETATE BETA-D-GLUCOSYLTRANSFERASE); UDP-glycosyltransferase/ transferase, transferring glycosyl groups"
"245290_at";390;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7102;"0.0687";"0.0035";"AT4G16490";"armadillo/beta-catenin repeat family protein"
"245296_at";396;3.0755;"0.0334";"0,0001";NA;NA;NA;NA;NA;NA;0.4777;"0.0053";"0,0001";"AT4G16370";"ATOPT3 (OLIGOPEPTIDE TRANSPORTER); oligopeptide transporter"
"245302_at";402;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3557;"0,0007";"0";"AT4G17695";"KAN3 (KANADI 3); DNA binding / transcription factor"
"245317_at";417;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5074;"0.0076";"0,0002";"AT4G15610";"integral membrane family protein"
"245319_at";419;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6191;"0.0235";"0,0008";"AT4G16146";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G69510.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G69510.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G69510.3); similar to unnamed protein product [Vitis vinifera] (GB:CAO44882.1); contains InterPro domain Lg106-like (InterPro:IPR012482)"
"245325_at";425;0.2328;"0.005";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT4G14130";"XTR7 (XYLOGLUCAN ENDOTRANSGLYCOSYLASE 7); hydrolase, acting on glycosyl bonds"
"245329_at";429;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5007;"0.0103";"0,0003";"AT4G14365";"zinc finger (C3HC4-type RING finger) family protein / ankyrin repeat family protein"
"245336_at";436;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6787;"0.0057";"0,0001";"AT4G16515";"unknown protein"
"245338_at";438;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7409;"0.0941";"0.0052";"AT4G16442";"integral membrane family protein"
"245341_at";441;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2386;"0,0001";"0";"AT4G16447";"unknown protein"
"245343_at";443;4.4139;"0.0107";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT4G15830";"binding"
"245347_at";447;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3279;"0.09";"0.0032";"AT4G14890";"ferredoxin family protein"
"245385_at";485;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5004;"0.0062";"0,0001";"AT4G14020";"rapid alkalinization factor (RALF) family protein"
"245386_at";486;0.4768;"0.0807";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT4G14010";"RALFL32 (RALF-LIKE 32)"
"245392_at";492;NA;NA;NA;NA;NA;NA;0.1036;0.0033;"0";0.2272;"0";"0";"AT4G15680";"glutaredoxin family protein"
"245393_at";493;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5531;"0.0124";"0,0004";"AT4G16260";"glycosyl hydrolase family 17 protein"
"245397_at";497;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6785;"0.0617";"0.003";"AT4G14560";"IAA1 (INDOLE-3-ACETIC ACID INDUCIBLE); transcription factor"
"245399_at";499;0.4885;"0.0858";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT4G17340";"DELTA-TIP2/TIP2;2 (tonoplast intrinsic protein 2;2); water channel"
"245405_at";505;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3355;"0.0924";"0.0034";"AT4G17150";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G14290.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23689.1); contains domain PTHR12277:SF9 (PTHR12277:SF9); contains domain PTHR12277 (PTHR12277); contains domain SSF53474 (SSF53474); contains domain G3DSA:3.40.50.1820 (G3DSA:3.40.50.1820)"
"245422_at";522;3.2863;"0.0296";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT4G17470";"palmitoyl protein thioesterase family protein"
"245463_at";563;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1119;"0";"0";"AT4G17030";"ATEXLB1 (ARABIDOPSIS THALIANA EXPANSIN-LIKE B1)"
"245486_x_at";586;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6698;"0.0471";"0.0021";"AT4G16240";"unknown protein"
"245489_at";589;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.7566;"0.0044";"0";"AT4G16280";"FCA; RNA binding"
"245494_at";594;0.4916;"0.0922";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT4G16390";"chloroplastic RNA-binding protein P67, putative"
"245495_at";595;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.0776;"0,0003";"0";"AT4G16400";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G13175.1); similar to unknown [Populus trichocarpa] (GB:ABK93642.1)"
"245501_at";601;1.9847;"0.0907";"0,0006";NA;NA;NA;5.4453;0.0124;"0";2.5012;"0,0001";"0";"AT4G15620";"integral membrane family protein"
"245504_at";604;NA;NA;NA;NA;NA;NA;0.1842;0.0233;"0";0.3227;"0,0004";"0";"AT4G15660";"glutaredoxin family protein"
"245505_at";605;NA;NA;NA;NA;NA;NA;0.0913;0.005;"0";0.3054;"0,0003";"0";"AT4G15690";"glutaredoxin family protein"
"245506_at";606;NA;NA;NA;NA;NA;NA;0.3;0.1;"0,0004";0.6863;"0.076";"0.0039";"AT4G15700";"glutaredoxin family protein"
"245531_at";631;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6859;"0.0715";"0.0037";"AT4G15100";"SCPL30 (serine carboxypeptidase-like 30); serine carboxypeptidase"
"245546_at";646;0.3866;"0.0459";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT4G15290";"ATCSLB05 (Cellulose synthase-like B5); transferase/ transferase, transferring glycosyl groups"
"245555_at";655;0.4559;"0.0745";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT4G15390";"transferase family protein"
"245558_at";658;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1102;"0,0003";"0";"AT4G15430";"similar to early-responsive to dehydration protein-related / ERD protein-related [Arabidopsis thaliana] (TAIR:AT4G04340.1); similar to early-responsive to dehydration protein-related / ERD protein-related [Arabidopsis thaliana] (TAIR:AT4G04340.3); similar to early-responsive to dehydration protein-related / ERD protein-related [Arabidopsis thaliana] (TAIR:AT3G21620.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO24038.1); similar to CM0545.360.nc [Lotus japonicus] (GB:BAF98597.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69661.1); contains InterPro domain Protein of unknown function DUF221; (InterPro:IPR003864)"
"245616_at";716;0.4255;"0.057";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT4G14480";"protein kinase family protein"
"245662_at";762;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5397;"0.0106";"0,0003";"AT1G28190";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G12340.1); similar to unknown [Picea sitchensis] (GB:ABK21062.1)"
"245677_at";777;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.8536;"0,0001";"0";"AT1G56660";"unknown protein"
"245690_at";790;2.5541;"0.0447";"0,0002";2.5431;0.0674;"0,0002";NA;NA;NA;1.5086;"0.0304";"0,0006";"AT5G04230";"PAL3 (PHENYL ALANINE AMMONIA-LYASE 3); phenylalanine ammonia-lyase"
"245692_at";792;10.5284;"0,0009";"0";NA;NA;NA;NA;NA;NA;0.1773;"0";"0";"AT5G04150";"BHLH101; DNA binding / transcription factor"
"245702_at";802;NA;NA;NA;9.7281;0.0077;"0";4.8657;0.0132;"0";2.2491;"0,0001";"0";"AT5G04220";"ATSYTC/NTMC2T1.3/NTMC2TYPE1.3/SYTC"
"245726_at";826;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6648;"0.0428";"0.0019";"AT1G73360";"HDG11 (HOMEODOMAIN GLABROUS11); DNA binding / transcription factor"
"245734_at";834;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6043;"0.0205";"0,0007";"AT1G73480";"hydrolase, alpha/beta fold family protein"
"245736_at";836;0.416;"0.0528";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT1G73330";"ATDR4 (Arabidopsis thaliana drought-repressed 4)"
"245742_at";842;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5647;"0.0124";"0,0002";"AT1G44170";"ALDH3H1 (ALDEHYDE DEHYDROGENASE 4); 3-chloroallyl aldehyde dehydrogenase/ aldehyde dehydrogenase (NAD)"
"245758_at";858;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4977;"0.0062";"0,0001";"AT1G32240";"KAN2 (KANADI 2); DNA binding / transcription factor"
"245765_at";865;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6244;"0.0308";"0.0012";"AT1G33600";"leucine-rich repeat family protein"
"245784_at";884;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6255;"0.0453";"0.002";"AT1G32190";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G24320.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63335.1); contains InterPro domain Alpha/beta hydrolase fold-1 (InterPro:IPR000073)"
"245792_at";892;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6905;"0.0517";"0.0024";"AT1G32100";"pinoresinol-lariciresinol reductase, putative"
"245794_at";894;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6998;"0.0573";"0.0028";"AT1G32170";"XTR4 (XYLOGLUCAN ENDOTRANSGLYCOSYLASE 4); hydrolase, acting on glycosyl bonds"
"245800_at";900;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5245;"0.0089";"0,0002";"AT1G46264";"AT-HSFB4 (Arabidopsis thaliana heat shock transcription factor B4); DNA binding / transcription factor"
"245816_at";916;0.3994;"0.0453";"0,0001";NA;NA;NA;NA;NA;NA;0.3888;"0.0017";"0";"AT1G26210";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G68870.1)"
"245821_at";921;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5404;"0.0101";"0,0003";"AT1G26270";"phosphatidylinositol 3- and 4-kinase family protein"
"245859_at";959;0.4521;"0.0763";"0,0004";NA;NA;NA;NA;NA;NA;0.7366;"0.0977";"0.0055";"AT5G28290";"ATNEK3; kinase"
"245861_at";961;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3227;"0,0003";"0";"AT5G28300";"trihelix DNA-binding protein, putative"
"245866_s_at";966;0.3561;"0.0452";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT1G57990;AT1G57980";"[AT1G57990, ATPUP18 (Arabidopsis thaliana purine permease 18); purine transmembrane transporter];[AT1G57980, purine permease-related]"
"245874_at";974;NA;NA;NA;NA;NA;NA;0.2717;0.0853;"0,0003";NA;NA;NA;"no_match";"no_match"
"245884_at";984;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4022;"0.0637";"0.0018";"AT5G09300";"2-oxoisovalerate dehydrogenase, putative / 3-methyl-2-oxobutanoate dehydrogenase, putative / branched-chain alpha-keto acid dehydrogenase E1 alpha subunit, putative"
"245901_at";1001;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5324;"0.01";"0,0003";"AT5G11060";"KNAT4 (KNOTTED1-LIKE HOMEOBOX GENE 4); transcription factor"
"245905_at";1005;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7278;"0.0907";"0.005";"AT5G11090";"serine-rich protein-related"
"245925_at";1025;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8208;"0.0018";"0";"AT5G28770";"BZO2H3 (ARABIDOPSIS THALIANA BASIC LEUCINE ZIPPER 63); DNA binding / protein heterodimerization/ transcription factor"
"245928_s_at";1028;31.4024;"0";"0";NA;NA;NA;NA;NA;NA;0.6887;"0.0686";"0.0035";"AT5G24770;AT5G24780";"[AT5G24770, VSP2 (VEGETATIVE STORAGE PROTEIN 2); acid phosphatase];[AT5G24780, VSP1 (VEGETATIVE STORAGE PROTEIN 1); acid phosphatase]"
"245947_at";1047;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4005;"0.0019";"0";"AT5G19530";"ACL5 (ACAULIS 5)"
"245965_at";1065;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3666;"0.0012";"0";"AT5G19730";"pectinesterase family protein"
"245974_at";1074;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.6006;"0.0147";"0,0002";"no_match";"no_match"
"245976_at";1076;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3313;"0,0004";"0";"AT5G13080";"WRKY75 (WRKY DNA-BINDING PROTEIN 75); transcription factor"
"245993_at";1093;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5891;"0.019";"0,0006";"AT5G20700";"senescence-associated protein-related"
"245998_at";1098;NA;NA;NA;NA;NA;NA;3.5791;0.0364;"0,0001";NA;NA;NA;"AT5G20830";"SUS1 (SUCROSE SYNTHASE 1); UDP-glycosyltransferase/ sucrose synthase"
"246000_at";1100;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1846;"0";"0";"AT5G20820";"auxin-responsive protein-related"
"246001_at";1101;0.3611;"0.0328";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G20790";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G43110.1)"
"246004_at";1104;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3968;"0.0017";"0";"AT5G20630";"GLP3 (GERMIN-LIKE PROTEIN 3); manganese ion binding / metal ion binding / nutrient reservoir"
"246021_at";1121;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5304;"0.0095";"0,0002";"AT5G21100";"L-ascorbate oxidase, putative"
"246027_at";1127;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4141;"0.058";"0.0016";"AT5G21060";"homoserine dehydrogenase family protein"
"246036_at";1136;5.0902;"0.0073";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G08370";"ATAGAL2 (ARABIDOPSIS THALIANA ALPHA-GALACTOSIDASE 2); alpha-galactosidase"
"246043_at";1143;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5281;"0.019";"0,0003";"AT5G19380";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G12170.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO16866.1); contains domain Multidrug resistance efflux transporter EmrE (SSF103481)"
"246071_at";1171;0.4095;"0.0567";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G20150";"SPX (SYG1/Pho81/XPR1) domain-containing protein"
"246090_at";1190;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3565;"0.0746";"0.0024";"AT5G20520";"WAV2 (WAVY GROWTH 2)"
"246099_at";1199;2.6919;"0.0714";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT5G20230";"ATBCB (ARABIDOPSIS BLUE-COPPER-BINDING PROTEIN); copper ion binding"
"246108_at";1208;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.0127;"0.0016";"0";"AT5G28630";"glycine-rich protein"
"246110_at";1210;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3467;"0.0803";"0.0027";"AT5G20140";"SOUL heme-binding family protein"
"246133_at";1233;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5426;"0.0111";"0,0003";"AT5G20960";"AAO1 (ALDEHYDE OXIDASE 1)"
"246134_at";1234;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4188;"0.0501";"0.0013";"AT5G20930";"TSL (TOUSLED); kinase"
"246137_at";1237;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8572;"0.0015";"0";"AT5G28490";"LSH1 (LIGHT-DEPENDENT SHORT HYPOCOTYLS 1)"
"246142_at";1242;0.4548;"0.077";"0,0004";NA;NA;NA;NA;NA;NA;0.634;"0.0306";"0.0012";"AT5G19970";"similar to unnamed protein product [Vitis vinifera] (GB:CAO65601.1)"
"246143_at";1243;NA;NA;NA;2.6218;0.0947;"0,0003";NA;NA;NA;NA;NA;NA;"AT5G19980";"integral membrane family protein"
"246144_at";1244;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5894;"0.0184";"0,0006";"AT5G20110";"dynein light chain, putative"
"246148_at";1248;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3551;"0.0859";"0.003";"AT5G19960";"RNA recognition motif (RRM)-containing protein"
"246149_at";1249;NA;NA;NA;NA;NA;NA;0.13;0.0065;"0";NA;NA;NA;"AT5G19890";"peroxidase, putative"
"246155_at";1255;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3998;"0.0503";"0.0013";"AT5G20030";"agenet domain-containing protein"
"246159_at";1259;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5109;"0.0193";"0,0003";"AT5G20935";"similar to unnamed protein product [Vitis vinifera] (GB:CAO67410.1)"
"246161_at";1261;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3499;"0.0734";"0.0023";"AT5G20900";"JAZ12/TIFY3B (JASMONATE-ZIM-DOMAIN PROTEIN 12)"
"246184_at";1284;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6622;"0.0448";"0.002";"AT5G20950";"glycosyl hydrolase family 3 protein"
"246195_at";1295;NA;NA;NA;0.3448;0.0878;"0,0001";NA;NA;NA;0.1426;"0";"0";"AT4G36410";"UBC17 (UBIQUITIN-CONJUGATING ENZYME 17); ubiquitin-protein ligase"
"246201_at";1301;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3772;"0.0621";"0.0018";"AT4G36750";"quinone reductase family protein"
"246205_at";1305;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5816;"0.0151";"0,0005";"AT4G36970";"remorin family protein"
"246211_at";1311;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3181;"0.0933";"0.0034";"AT4G36730";"GBF1 (G-box binding factor 1); transcription factor"
"246212_at";1312;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.729;"0.0915";"0.005";"AT4G36930";"SPT (SPATULA); DNA binding / transcription factor"
"246213_at";1313;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7097;"0.0768";"0.004";"AT4G36480";"ATLCB1 (LONG-CHAIN BASE1); protein binding / serine C-palmitoyltransferase"
"246228_at";1328;1.9605;"0.1002";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT4G36430";"peroxidase, putative"
"246231_at";1331;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.555;"0.0127";"0,0004";"AT4G37080";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G42690.2); similar to hypothetical protein [Populus tremula] (GB:CAM84232.1); contains InterPro domain Protein of unknown function DUF547 (InterPro:IPR006869)"
"246236_at";1336;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5803;"0.0151";"0,0005";"AT4G36470";"S-adenosyl-L-methionine:carboxyl methyltransferase family protein"
"246244_at";1344;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4983;"0.0062";"0,0001";"AT4G37250";"leucine-rich repeat family protein / protein kinase family protein"
"246247_at";1347;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4701;"0.005";"0,0001";"AT4G36640";"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein"
"246250_at";1350;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7021;"0.0975";"0.0055";"AT4G36880";"CP1 (CYSTEINE PROTEINASE1); cysteine-type peptidase"
